id;name;album;album_id;artists;artist_ids;track_number;disc_number;explicit;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature;year;release_date
5Wq15flrG7ArUjyW0T7q7p;- Gently She Exhales Its Marvelous Mystique, Wonder, |And Paradi;Intellectual Explorations;6YwDGrDh2MRRzKwJUwg8wT;['Karius Vega'];['3b2suPxiUzkyK54xuafEW9'];20;1;FALSO;3,98E+16;5,72E+15;3;-1,2756E+16;0;639;292;7,83E+15;309;252;112044;170493;50;2007;2007-01-01
5nO4qB35RRQTiQNiQD8zGw;- In Reminiscence -;Into the Marinesnow;7mMT5XWwRqQdrMr14TYomP;['No Limited Spiral'];['0xoZVyo29QI74FQ6FgPaPk'];1;1;FALSO;196;613;11;-9446;0;888;8,81E+15;62;392;2,02E+16;96213;80767;30;2017;2017-07-28
5NcxeaxoLmADwYjb8WVVwv;- Intro - Talk Iz Cheap;Business Is Business;4X5UPW9dGDtuUb3DN5Vfgq;['Telly Mac'];['316cPrVpf18LLtyZm7fn3y'];6;1;VERDADERO;8,06E+15;792;10;-5369;0;7,56E+15;4,87E+16;0;395;525;93506;273800;40;2006;2006-06-20
5D58AopxxArbrC4LO03K0C;- It's Just - Talk;Music of Pat Metheny & Lyle Mays;2uwOxUow6Lz6puOyI8jNPx;"[""Bob Curnow's L.A. Big Band"", 'Bobby Shew', 'Wayne Bergeron', 'Alex Iles']";['6bDc26pVdlLcaQCwpW9Br4', '0bARK3i69D9aD9UVwOQpke', '2aHjcPkNOKNQabDdcJcdx9', '4Fujy1Bg0kDmUksY7Om0Jy'];1;1;FALSO;447;354;5;-1,2529E+16;0;317;6,63E+15;778;874;405;146704;447933;40;1994;1994-05-23
6ofZzDgnzUTHHlO6MVAKvk;- Naiads, Cassadies;Crack-Up;0xtTojp4zfartyGtbFKN3v;['Fleet Foxes'];['4EVpmkEwrLYEg6jIsiPMIb'];3;1;FALSO;536;493;7;-7,877E+16;1;278;2;313;155;1,73E+16;9,7077E+15;190560;40;2017;2017-06-16
42mCeBEq3hhgFdsM4CJrCS;--- Warning;Legs;7k0g0sYWcjmDZavFru6a0j;['Operation ID'];['5DVNYTu9GBLPQoVxSxG0yw'];3;1;FALSO;525;6,86E+15;10;-1,1074E+16;1;428;397;8,14E+15;11;752;199997;362173;50;2011;2011-03-12
4nSE7uYduIohDl1DK54vOm;!;Interrobang;2L30fdGfccOTD1lPJTECpE;['George Hrab'];['5XmrgivvJUbObRruMVENpR'];9;1;FALSO;3,39E+16;9,11E+15;11;-9264;0;501;0,00155;746;1,23E+16;809;1,70759E+16;230480;40;2005;2005-12-01
0Prct5TDjAnEgIqbxcldY9;!;UNDEN!ABLE;5H9cH0ZFEwiJQFPCXiXzxd;['HELLYEAH'];['4hxDvVq5t8ebPYPdBl1F9f'];1;1;FALSO;415;605;7;-11157;1;575;116;838;4,71E+16;193;100059;79500;40;2016;2016-06-03
1ZX7TA9UAKi7jeghWr1KlF;!!!Si!!!;Emulsion de Skape;0l0sZOdQJbYKTPQwbxDsbE;['La Matatena'];['5FgDCzaC8VeGnaVws6BU2q'];10;1;FALSO;381;894;11;-6,007E+16;0;53;117;877;1,16E+16;5,58E+15;101124;128800;40;1999;1999
4v1IBp3Y3rpkWmWzIlkYju;!!De Repente!!;Fuera De Lugar;1cXJjh9fcub05ZNC4H4SYN;['Rosendo'];['0P4FkbP57uc9XBnJ9aoA3N'];7;1;FALSO;659;893;5;-8531;1;411;922;0,00191;534;951;1236;199827;40;1986;1986-07-01
4U7dlZjg1s9pjdppqZy0fm;!!De Repente!!;Un Palo Al Agua (20 Grandes Canciones);1XcBGMLrcNXMHukhrRNHCq;['Rosendo'];['0P4FkbP57uc9XBnJ9aoA3N'];2;1;FALSO;657;882;5;-634;1;385;74;0,00127;474;9,39E+15;123588;198173;40;2000;2000-02-01
3CPCu8UBgsFVAxHCBTlMGP;!(?Galactic!#$Adventure!@#;Wah-Ha Era;227m9Ko4LgqnP0QE4fj4eu;['Sheena'];['0ezue86UmGPlFGn2tN2XVL'];15;1;FALSO;615;74;2;-8895;1;496;782;6,68E+15;2,34E+16;331;13222;129228;40;2006;2006-06-09
1SxMxIv3dwCLml5gjBHvwO;!@$# Disappearing Blocks;Ranger Wars OST;3IX1fKb5wQoEigRTyY9paw;['monomer'];['4bSHri2JUOPBJvMG9UvFe8'];3;1;FALSO;336;841;6;-10751;0;3,7E+16;3,78E+16;9,39E+15;268;9,74E+15;131847;109091;40;2011;2011-04-27
5ZGKKwxgKEy6VwUSFSfRwY;!A Volar!;Las Puertas De La Manana;5meiPmFedLZWuRch4kh4pT;['Carlos Gusatavino'];['1kxGkdtmtbSC4cK5VQUQms'];13;1;FALSO;409;134;7;-19712;1;674;9,94E+15;57;1,43E+16;4,92E+15;84917;88840;30;1993;1993
7l4ZGkhePXBqAUfFYEjVTP;!Al Puente De La Golondrina!;Las Puertas De La Manana;5meiPmFedLZWuRch4kh4pT;['Carlos Gusatavino'];['1kxGkdtmtbSC4cK5VQUQms'];17;1;FALSO;418;682;4;-17063;0;607;9,94E+15;0;736;239;69668;125733;30;1993;1993
5iGPpZMOVWOiGEmvhPqJH0;!bam!;Never Odd or Even;0adFmOjGS5AECFQpEy5sLu;['Kyle Hollingsworth'];['0fzfdKzpTTZIywU3CKRgog'];12;1;FALSO;612;914;0;-6558;1;416;1,43E+16;311;158;726;120055;503027;40;2004;2004-11-09
